,institution.name,collection,objectnaam,Test,title,description,edition,creator,creator.role,production.place,production.date.start,production.date.start.prec,production.date.notes,production.date.end,production.date.end.prec,material,material.part,technique,technique.part,dimension.notes,dimension.part,dimension.value,dimension.unit,acquisition.date,acquisition.method,acquisition.place,exhibition,exhibition.date.start,exhibition.date.end,exhibition.venue.place,related_object.association,related_object.reference,related_object.title,Test
302,Design Museum Gent,jaren 1970,schrijfmeubel,1974-0010Design Museum Gent,Academy,"Dit bureau werd gebruikt door Lieven Daenens, directeur van het Museum voor Sierkunst.",,"Vanden Berghe, Bob",ontwerper,Gent,1970,circa,datum uitvoering,1974,circa,hout,constructie,,,,geheel,75.0,cm,1974,aankoop,Gent,,,,,,,,1974-0010Design Museum Gent
345,Design Museum Gent,jaren 1970,kastmeubel,1980-0310Design Museum Gent,Kast-skulptuur,Kast in gelakte vezelplaat met spiegelvlakken.,,"De Mey, Jos",ontwerper,Gent,1976,,datum ontwerp,1976,,vezelplaat,geheel,,,,geheel,160.0,cm,1980,schenking,Gent,,,,,,,,1980-0310Design Museum Gent
